Root,Serial,Level,part_of_speech,Addition,ExplainationE,ExplainationC
1969,19-001969-00-1,9,n.,episodes,-,一段经历，一段时期；（电视剧或广播剧的）集，一集；疾病的发作，发病；插句，插段；（希腊悲剧中）两段合唱之间的部分
7462,19-007462-00-1,9,adj.,-,-,（法律上）无效的，作废的；（论据、理由等）站不住脚的，错误的；（计算机）不能识别的；残疾的
7462,19-007462-00-2,9,n.,invalids,-,病弱者，伤残者
7462,19-007462-00-3,9,vt.,-,-,使（因伤或病）退役；使伤残，使病弱
8170,19-008170-00-1,9,adj.,-,-,灾难性的；极糟的，失败的；大规模突变的；（与）地质灾变（有关）的
7053,19-007053-00-1,9,n.,,-,恶化
4154,19-004154-00-1,9,v.,persists-persisting-persisted-persisted,-,继续存在，持续；坚持，执意；坚持说，反复说
3283,19-003283-00-1,9,v.,leaps-leaping-leapt或leaped-leapt或leaped,-,猛冲，突然而迅速地移动；剧增，猛涨；赶紧抓住（机会）；（心）猛跳；跳，跳跃
3283,19-003283-00-2,9,n.,leaps,-,跳跃，跳高；骤变，激增；（对新事物的）认真尝试
3283,19-003283-00-3,9,-,-,-,【名】 （Leap）（美、法、英）莱亚（人名）
7948,19-007948-00-1,9,v.,jeopardizes-jeopardizing-jeopardized-jeopardized,-,危及，损害
1999,19-001999-00-1,9,v.,evaluates-evaluating-evaluated-evaluated,-,评价，评估，估值；求（方程式，公式，函数）的数值
7441,19-007441-00-1,9,n.,frocks,-,女装；连衣裙；僧袍；罩袍
7441,19-007441-00-2,9,n.,frocks,-,（Frock）人名；（英）弗罗克
7889,19-007889-00-1,9,vt.,-,-,对……授粉
8106,19-008106-00-1,9,n.,longitudes,-,经度，经线
3964,19-003964-00-1,9,n.,ornaments,-,装饰品，点缀品；<正式>装饰，摆设；<正式>首饰，饰物； 为……增添光彩的人（或事物）（ornament to sth.）；（乐）装饰音（ornaments） ；（基督教）（圣坛、圣餐杯和圣器等）礼拜用品，典礼用品
3964,19-003964-00-2,9,v.,ornaments-ornamenting-ornamented-ornamented,-,装饰，点缀
3657,19-003657-00-1,9,n.,mortalities,-,死亡人数，死亡率；必死性，终有一死；死亡
7925,19-007925-00-1,9,n.,,-,渗透；（化学）渗透作用，渗透作用
720,19-000720-00-1,9,v.,-,-,（使身体部位等）碰上，撞上；（无意地）碰，撞；颠簸行进；拖拽；挤出，挤掉；改变（广播或电视节目的时间）
720,19-000720-00-2,9,n.,,-,肿块；隆起，凸块；碰撞，撞击；轻微撞车事故；屁股向前扭动的性感动作；<美，非正式>增加；绒布
720,19-000720-00-3,9,-,-,-,【名】 （Bump）（英、西）邦普（人名）
7768,19-007768-00-1,9,v.,condenses-condensing-condensed-condensed,-,冷凝，凝结；压缩，简缩；浓缩，变浓
7555,19-007555-00-1,9,adj.,-,-,浑浊的；混乱的；雾重的
3042,19-003042-00-1,9,adj.,more integral-most integral,-,必需的，必要的，不可或缺的；作为组成部分的；完整的；整的，积分的
3042,19-003042-00-2,9,n.,integrals,-,积分；完整
7769,19-007769-00-1,9,v.,inverts-inverting-inverted-inverted,-,使倒置，使反转；使（位置、顺序或关系）颠倒，使互换；（通过改变音高变化方向）修改（乐句），转回；转位；求逆，求反
7769,19-007769-00-2,9,n.,,-,仰拱，倒拱；管道内底；颠倒图案的错印邮票；倒置物，倒悬者
7769,19-007769-00-3,9,adj.,-,-,转化的
1125,19-001125-00-1,9,adj.,more concrete-most concrete,-,确实的，具体的；实在的，有形的；混凝土的；物质的
1125,19-001125-00-2,9,n.,,-,混凝土
1125,19-001125-00-3,9,v.,concretes-concreting-concreted-concreted,-,用混凝土覆盖（或做成）；<旧>（使）凝固，（使）凝结；使真实（化），使具体（化）
1880,19-001880-00-1,9,n.,elites,-,权力集团，上层人士；尖子，精英
1880,19-001880-00-2,9,adj.,more elite-most elite,-,出类拔萃的，精锐的
1691,19-001691-00-1,9,adj.,-,-,不同的，有区别的；清楚的，明显的；确切的
8129,19-008129-00-1,9,adj.,-,-,残忍的；无人情味的
7502,19-007502-00-1,9,n.,veterinarians,-,兽医
5311,19-005311-00-1,9,v.,slips-slipping-slipped-slipped,-,滑倒，失足；滑落，脱落；溜走，悄悄地走；偷偷塞进；滑行，打滑；下降，变差；陷入；迅速穿上，迅速脱下；摆脱，挣脱；飞逝，过得飞快；被（某人）忘记；放出（动物，尤指猎狗）；（身体部分）移位，脱臼；（编织）挑过一针不结；略微松动（汽车离合器）；（动物）流产
5311,19-005311-00-2,9,n.,slips,-,疏漏，差错；小纸条；滑，滑倒；滑动；衬裙；（击球员后侧的）守场员；（制陶器用的）泥浆，泥釉；（飞机飞行中的）侧滑；牵狗皮带；（两个码头之间）泊位；（编织）挑针；变糟，下跌；接枝，插枝；瘦小的年轻人
5311,19-005311-00-3,9,-,-,-,【名】 （Slip）（芬）斯利普（人名）
7216,19-007216-00-1,9,adj.,-,-,有很多种类组成的；（化）不均一的，多相的；（数）不纯一的，参差的
7413,19-007413-00-1,9,n.,moralities,-,道德，品行；正当性
2086,19-002086-00-1,9,v.,exploits-exploiting-exploited-exploited,-,剥削，压榨；利用（……为自己谋利）；运用，发挥；开发，开拓
2086,19-002086-00-2,9,n.,exploits,-,英勇事迹，壮举；大胆的表演，不凡的身手
5666,19-005666-00-1,9,n.,,-,（政府间的）首脑会议，峰会；山顶，顶峰；（成就的）顶点，最高点；最高阶层
5666,19-005666-00-2,9,adj.,-,-,最高级的，政府首脑的
5666,19-005666-00-3,9,v.,-,-,登上（顶峰）
1135,19-001135-00-1,9,adj.,-,-,机密的，保密的；（言谈举止）神秘的，隐秘的；受信任的，委以机密的
1611,19-001611-00-1,9,n.,,-,方向，方位；趋势，动向；指示，说明；目标；方面；管理，指导；导演
1121,19-001121-00-1,9,v.,concludes-concluding-concluded-concluded,-,断定，推断出；结束，终止；达成，做成，完成；<美>决定
7748,19-007748-00-1,9,n.,velocities,-,速度，速率；高速，快速；（经济）周转率，流通速度
6326,19-006326-00-1,9,adj.,-,-,（地方）空着的，无人用的；（职位，工作）空缺的；茫然的，失神的
6326,19-006326-00-2,9,-,-,-,【名】 （Vacant）（法）瓦康（人名）
7468,19-007468-00-1,9,vt.,-,-,使适应新环境，使服水土
6376,19-006376-00-1,9,adj.,more vicious-most vicious,-,凶险的，会造成伤害的；严厉的，恶毒的，恶意的；剧烈的，恶劣的；<文>不道德的，罪恶的；<古>（语言，推理）不完善的，谬误的
6376,19-006376-00-2,9,-,-,-,【名】 （Vicious）（英）维舍斯（人名）
7810,19-007810-00-1,9,n.,penetrations,-,穿透，渗透，进入；（产品对市场的）渗透度，占有率；（某种信仰在某一社会的）渗透；（为刺探情报对某团体、企业等的）渗入；洞察力；（阴茎的）插入
5423,19-005423-00-1,9,n.,specialists,-,专家；专科医生；美国陆军专业人员（高于一等兵低于下士的军衔）
5423,19-005423-00-2,9,adj.,-,-,专业的；专门的；专家的
7990,19-007990-00-1,9,n.,,-,认识，认知；认识（或认知）的结果
8243,19-008243-00-1,9,v.,enlists-enlisting-enlisted-enlisted,-,（使）参军，（使）入伍；争取，谋取；赞助，支持
2035,19-002035-00-1,9,n.,excesses,-,超过，过量；越轨行为，暴行；无节制，无度；（保险中的）免赔额
2035,19-002035-00-2,9,adj.,-,-,过多的，超额的；额外的，附加的
7058,19-007058-00-1,9,adj.,-,-,可诱导的；可导致的
7182,19-007182-00-1,9,adv.,-,-,令人难忘地；感人地
7203,19-007203-00-1,9,n.,,-,碎石，砂砾；（用于铺路及用作三合土的）砂砾；砂砾层；（医）尿砂
7203,19-007203-00-2,9,v.,gravels-gravelling或graveling-gravelled或graveled-gravelled或graveled,-,用砂砾铺（地）；<美，非正式>使气恼，搅扰；<古>使困惑
7203,19-007203-00-3,9,-,-,-,【名】 （Gravel）（英、法、西）格拉韦尔（人名）
7405,19-007405-00-1,9,adj.,-,-,（经济、社会等）停滞不前的，不景气的；不流动的，污浊的
3191,19-003191-00-1,9,adj.,keener或more keen-keenest或most keen,-,渴望的，热衷的；喜爱的，着迷的；热情的，热心的；（兴趣或感情）浓厚的，强烈的；思维敏捷的，敏锐的；（目光或听觉）灵敏的；（战斗或竞争）激烈的，紧张的；<英>（价格）低廉的，有竞争力的；<旧>寒冷刺骨的；锋利的，锐利的；（气味、光或声音）有穿透力的，强烈的，明净的
3191,19-003191-00-2,9,v.,keens-keening-keened-keened,-,（为死者）恸哭，哀号
3191,19-003191-00-3,9,n.,,-,痛哭，挽歌
3191,19-003191-00-4,9,-,-,-,【名】 （Keen）（英）基恩，（德）肯，（肯）金（人名）
8346,19-008346-00-1,9,adj.,-,-,不稳定的，难以预测的
8346,19-008346-00-2,9,n.,,-,漂泊无定的人，古怪的人；（地质）漂块，漂砾
2840,19-002840-00-1,9,v.,illustrates-illustrating-illustrated-illustrated,-,加插图于；说明，阐明；证明，证实
7786,19-007786-00-1,9,n.,,-,凝聚力，团结；内聚力；（句子、文章等在语法或含义方面的）连贯，衔接
7145,19-007145-00-1,9,n.,coordinators,-,协调人，统筹者
1889,19-001889-00-1,9,n.,embassies,-,大使馆工作人员；大使馆；（外交）特别使团
5769,19-005769-00-1,9,v.,tackles-tackling-tackled-tackled,-,应付，解决（难题或局面）；与……交涉；（足球、曲棍球等比赛中）抢断；（橄榄球等比赛中）擒抱并摔倒（对方球员）；擒获；对付，打（尤指罪犯）；质问，责问；反对，反抗
5769,19-005769-00-2,9,n.,tackles,-,（足球等中的）抢断球；（橄榄球或美式足球）擒抱摔倒；（美式足球中的）阻截队员；体育器械，（尤指）渔具；（吊起重物用的）索具，滑轮；<英，俚>男性性器官
4872,19-004872-00-1,9,n.,revivals,-,复兴，复苏；再流行；（旧剧的）重新上演；（复兴基督教信仰的）奋兴布道会；（体力或活力的）重振
7113,19-007113-00-1,9,adv.,-,-,可触知地；明白地
5480,19-005480-00-1,9,v.,sprinkles-sprinkling-sprinkled-sprinkled,-,撒，洒；用……点缀，在……中随意穿插；零星分布；下小雨
5480,19-005480-00-2,9,n.,sprinkles,-,少量，一点；稀疏小雨；（撒在糕饼上作装饰用的）彩糖，糖屑（sprinkles）
5841,19-005841-00-1,9,n.,,-,地位，关系；[法]条款；术语；措辞；价钱（term 的复数形式）
5841,19-005841-00-2,9,v.,-,-,把……称为（term 的三单形式）
8072,19-008072-00-1,9,n.,requisitions,-,征用；要求；申请书；引渡要求
8072,19-008072-00-2,9,vt.,-,-,征用；申请领取
7375,19-007375-00-1,9,n.,foams,-,泡沫，气泡；泡沫橡胶，海绵橡胶；泡沫剂，泡沫产品；唾液，汗沫
7375,19-007375-00-2,9,v.,foams-foaming-foamed-foamed,-,起泡沫，有泡沫
3988,19-003988-00-1,9,n.,outrages,-,愤慨，愤怒；骇人听闻的事，暴行
3988,19-003988-00-2,9,v.,outrages-outraging-outraged-outraged,-,使愤怒，激怒；践踏（准则、法律等）；凌辱，强奸
7054,19-007054-00-1,9,n.,,-,（统称）小器具，小装置
7417,19-007417-00-1,9,n.,,-,弹性上班制（等于 flextime）
1177,19-001177-00-1,9,n.,constitutions,-,宪法，章程；体质，体格；组成，结构
4794,19-004794-00-1,9,n.,,-,爬行动物；（非正式）卑鄙的人
4794,19-004794-00-2,9,adj.,-,-,爬行动物的
2932,19-002932-00-1,9,adj.,-,-,冷淡的，不关心的；中等的，平庸的；一般的，相当差的；中立的；不分化的
7588,19-007588-00-1,9,n.,,-,英勇；超凡技术；勇猛
8279,19-008279-00-1,9,n.,brutalities,-,残忍，野蛮
4162,19-004162-00-1,9,n.,perspectives,-,（观察问题的）视角，观点；透视（画）法；（几何）透视关系，投影比例；洞察力，判断力；景观，远景；角度；（声音）立体效果
4162,19-004162-00-2,9,adj.,-,-,透视的
7789,19-007789-00-1,9,n.,,-,旷工；旷课；有计划的怠工；经常无故缺席
2065,19-002065-00-1,9,adj.,-,-,奇异的，异国风情的
2065,19-002065-00-2,9,n.,,-,外来植物，外来动物
1902,19-001902-00-1,9,n.,emphases,-,重要性，重点强调；重读，强调；（表达的）强有力
7345,19-007345-00-1,9,vt.,-,-,使受精；使肥沃
2158,19-002158-00-1,9,n.,fares,-,交通费用；乘客；饭菜；常见的东西；供大众使用的东西（尤指娱乐活动）
2158,19-002158-00-2,9,v.,fares-faring-fared-fared,-,进展，表现；<古> 发生，结果；<古>出游，旅行
2158,19-002158-00-3,9,-,-,-,【名】 （Fare）（美）法勒（人名）
8291,19-008291-00-1,9,n.,slanders,-,诽谤，诋毁；诽谤罪
8291,19-008291-00-2,9,v.,slanders-slandering-slandered-slandered,-,（口头）诽谤，诋毁
7945,19-007945-00-1,9,n.,counsels或counsel,-,忠告，建议；辩护律师；<古>咨询，磋商
7945,19-007945-00-2,9,v.,counsels-counselling或counseling-counselled或counseled-counselled或counseled,-,建议，劝告（做……）；为……提供咨询，给……提供建议；商讨，提出忠告
7526,19-007526-00-1,9,n.,,-,纵坐标
7526,19-007526-00-2,9,v.,-,-,授某人以圣职；命令（ordain 的另一不常用形式）
8093,19-008093-00-1,9,v.,disregards-disregarding-disregarded-disregarded,-,忽视，轻视，不尊重
8093,19-008093-00-2,9,n.,disregards,-,漠视，轻视
7583,19-007583-00-1,9,n.,molecules,-,分子，摩尔；少量，一点儿；微小颗粒，微粒
7828,19-007828-00-1,9,n.,treatises,-,论述；论文；专著
2964,19-002964-00-1,9,adj.,-,-,无限的，无穷尽的；（数量或程度上）极大的，无穷大的；非限定的
2964,19-002964-00-2,9,n.,,-,（空间或数量的）无穷大（the infinite）；上帝（the infinite）
7381,19-007381-00-1,9,n.,tomes,-,大部头巨著；（几卷中的）一册
7381,19-007381-00-2,9,n.,tomes,-,（Tome）（美、巴西、西、葡）托梅（人名）
7892,19-007892-00-1,9,n.,geometries,-,几何，几何学；几何形状，几何构造；几何体系
1094,19-001094-00-1,9,n.,compliments,-,赞扬，称赞；问候，祝贺
1094,19-001094-00-2,9,v.,compliments-complimenting-complimented-complimented,-,赞美，恭维
1163,19-001163-00-1,9,n.,,-,保护，保存；节约，防止浪费；守恒定律
2572,19-002572-00-1,9,adj.,grosser或more gross-grossest或most gross,-,总的，毛的；严重的，极端的；粗鲁的；肥胖难看的，臃肿的；大范围的，粗略的；（高尔夫球的得分）实际所得的；明显的；让人恶心的
2572,19-002572-00-2,9,adv.,-,-,总共，全部
2572,19-002572-00-3,9,v.,grosses-grossing-grossed-grossed,-,总共赚得
2572,19-002572-00-4,9,n.,grosses或gross,-,一罗（144个）；毛收入，总收入
2572,19-002572-00-5,9,-,-,-,【名】 （Gross）（英、法、德、意、葡、西、俄、芬、罗、捷、匈）格罗斯（人名）
8024,19-008024-00-1,9,n.,,-,恶化
1492,19-001492-00-1,9,adj.,-,-,平等的，有民主精神的；民主政体的；（美国）民主党的
1757,19-001757-00-1,9,n.,drafts,-,草稿，草案；汇票；<美>通风气流，穿堂风（=draught）；征兵；<美>（职业球队的）选拔队员制
1757,19-001757-00-2,9,v.,drafts-drafting-drafted-drafted,-,起草，草拟；选派，派遣；<美>征召，征召……入伍；<美>挑选，选拔（运动员）；作草图，绘样
1757,19-001757-00-3,9,adj.,-,-,（动物）驮重物的，负重的；（啤酒）散装的；草拟的
1905,19-001905-00-1,9,adj.,-,-,经验主义的，以经验为依据的
4162,19-004162-00-1,9,n.,perspectives,-,（观察问题的）视角，观点；透视（画）法；（几何）透视关系，投影比例；洞察力，判断力；景观，远景；角度；（声音）立体效果
4162,19-004162-00-2,9,adj.,-,-,透视的
5533,19-005533-00-1,9,adj.,steeper或more steep-steepest或most steep,-,（路、山等）陡峭的；（价格，需求）难以接受的，过高的；（增加或减少）急剧的，大幅度的
5533,19-005533-00-2,9,v.,steeps-steeping-steeped-steeped,-,浸泡（食物）；使沉浸，使沉湎
5533,19-005533-00-3,9,n.,steeps,-,<文>悬崖，陡坡；用于浸泡的溶液
7540,19-007540-00-1,9,adj.,-,-,圣经的；手稿的；依据圣经的
7553,19-007553-00-1,9,n.,,-,表演，演奏；视觉形象，视觉再现；翻译，译文；秘密引渡
7485,19-007485-00-1,9,n.,conformities,-,遵守，依照；随大流，循规蹈矩；符合，一致；信奉英国国教
8119,19-008119-00-1,9,adj.,-,-,水传播的；由水浮起的；水运的；饮水传染的（等于 waterborne）
1356,19-001356-00-1,9,v.,curbs-curbing-curbed-curbed,-,控制，抑制；勒住（马）
1356,19-001356-00-2,9,n.,curbs,-,控制，抑制；<美>路缘，马路牙子；（马的跗关节后部因扭伤韧带引起的）硬瘤
8051,19-008051-00-1,9,n.,demerits,-,缺点，短处；过失
4689,19-004689-00-1,9,adj.,-,-,<英> 被解雇的，被裁员的；多余的，累赘的；（为预防机器或系统中主要组件故障而设的）复置装置的，备用的
3038,19-003038-00-1,9,adj.,-,-,不充分的，不够重要的
7011,19-007011-00-1,9,v.,ventilates-ventilating-ventilated-ventilated,-,使通风，使通气；（用呼吸机）给……供氧；<正式>公开表达（感情或意见）；<非正式>射杀（人）
7548,19-007548-00-1,9,adj.,-,-,破坏性的，毁灭性的
3361,19-003361-00-1,9,n.,,-,识字，读写能力；专业知识；精通文学
7014,19-007014-00-1,9,v.,imparts-imparting-imparted-imparted,-,传授，告知；赋予，给予
7730,19-007730-00-1,9,n.,inventories,-,详细目录，清单；存货，库存；盘货，存货盘点
7730,19-007730-00-2,9,v.,inventories-inventorying-inventoried-inventoried,-,开列清单
7490,19-007490-00-1,9,v.,unravels-unravelling或unraveling-unravelled或unraveled-unravelled或unraveled,-,（使）解开，（使）松开；弄清，阐明；崩溃，失败
7269,19-007269-00-1,9,n.,bulks,-,主体，大部分；庞大的身躯，肥硕的体形；（巨大的）容积，体积
7269,19-007269-00-2,9,adj.,-,-,大批的，大宗的
7269,19-007269-00-3,9,v.,bulks-bulking-bulked-bulked,-,使（产品）数量显得很大；结合（待售的股票或商品）
7269,19-007269-00-4,9,-,-,-,【名】 （Bulk）（土）布尔克（人名）
8029,19-008029-00-1,9,adj.,more sinister-most sinister,-,邪恶的，不祥的；<古>（纹章）（在）盾形纹章左侧的
8344,19-008344-00-1,9,adj.,-,-,出色的，引人注目的；显眼的，明显的
3322,19-003322-00-1,9,adj.,-,-,（在法律上）有责任的，有义务的；负有偿付责任的；很可能会发生的；有……倾向的
7293,19-007293-00-1,9,adj.,-,-,可延长的；可展开的；可扩张的
7357,19-007357-00-1,9,adv.,-,-,脆弱地；易受伤害地
4441,19-004441-00-1,9,adj.,-,-,（影响）深刻的，极大的；（感情）强烈的，深切的；（思想）深邃的，（见解）深刻的；<文>深的，深处的；完全的；艰深的，玄奥的；（疾病，残疾）严重的
7824,19-007824-00-1,9,adv.,-,-,强制地，强迫地
7648,19-007648-00-1,9,n.,,-,内省；反省
6421,19-006421-00-1,9,adv.,-,-,自动地；以自由意志
7632,19-007632-00-1,9,adv.,-,-,非常，极大地
1013,19-001013-00-1,9,adj.,-,-,有条理的，连贯的；说话条理清晰的，易于理解的；团结一致的，凝聚的；（波）相干的，相参的；黏着的，黏连的
834,19-000834-00-1,9,n.,catastrophes,-,灾难，灾祸；麻烦，困境；惨败
7701,19-007701-00-1,9,adj.,-,-,推理的；推论的；根据推理的
7272,19-007272-00-1,9,adj.,-,-,纯洁的；不懂世故的；不精细的；天真无邪的；质朴无华的
7102,19-007102-00-1,9,v.,pierces-piercing-pierced-pierced,-,（锋利尖锐物体）刺入，刺穿；（在身体某部位）扎眼，穿孔（以佩戴珠宝）；（声或光）穿过，透入；冲过，突破；让某人心如刀割，深深地打动
7102,19-007102-00-2,9,-,-,-,【名】 （Pierce）皮尔斯（人名，同Pearce）
7666,19-007666-00-1,9,vt.,-,-,分配，分派；分摊
3118,19-003118-00-1,9,n.,irons,-,铁；熨斗；铁器，铁制工具；镣铐；（矫正畸形腿的）夹腿；<非正式>马蹬；陨铁，铁陨石；（高尔夫球）铁头球杆；刚强，毅力
3118,19-003118-00-2,9,v.,irons-ironing-ironed-ironed,-,熨，烫
3118,19-003118-00-3,9,adj.,-,-,铁的，铁制的；刚强的，坚强的；强硬的，严酷的
3118,19-003118-00-4,9,-,-,-,【名】 （Iron）（英）艾恩（人名）
4651,19-004651-00-1,9,n.,recessions,-,（经济的）衰退（期）；<正式>退后，撤回；（天文）退行；凹处
7545,19-007545-00-1,9,v.,inclines-inclining-inclined-inclined,-,（使）倾向于；点头；（使）倾斜；赞同（某人，某事）
7545,19-007545-00-2,9,n.,inclines,-,斜坡，倾斜
7506,19-007506-00-1,9,v.,deters-deterring-deterred-deterred,-,使打消念头，防止
7506,19-007506-00-2,9,-,-,-,【名】 （Deter）（德）德特尔（人名）
7024,19-007024-00-1,9,n.,questionaries,-,调查表，问卷
7024,19-007024-00-2,9,adj.,-,-,询问的；由问题组成的
4311,19-004311-00-1,9,v.,postpones-postponing-postponed-postponed,-,推迟，延缓；把……放在次要地位；把……放在后面
400,19-000400-00-1,9,adj.,more athletic-most athletic,-,运动的，体育的；强壮的，健壮的；运动员用的；（在体育、比赛或身体锻炼等方面）行动敏捷的，活跃的
7494,19-007494-00-1,9,adj.,more stationary-most stationary,-,不动的，静止的；不变的，稳定的；（行星）经度无明显移动的；定居的
7494,19-007494-00-2,9,n.,stationaries,-,不动的人或物
1889,19-001889-00-1,9,n.,embassies,-,大使馆工作人员；大使馆；（外交）特别使团
632,19-000632-00-1,9,v.,boosts-boosting-boosted-boosted,-,使增长，推动；<美，非正式>偷窃；宣扬，推广
632,19-000632-00-2,9,n.,boosts,-,推动，促进；广告，宣扬
632,19-000632-00-3,9,-,-,-,【名】 （Boost）（英）布斯特，（德）博斯特（人名）
2109,19-002109-00-1,9,adj.,-,-,异乎寻常的，令人惊奇的；非凡的，卓越的；特别的，临时的；特大（或多）的；特派的，特命的
2109,19-002109-00-2,9,n.,,-,（公司正常业务活动之外的）非常账目，特支款项
7853,19-007853-00-1,9,n.,antiquities,-,古代（尤指古希腊和古罗马时期）；年代久远；文物，古物；古代，古时（尤指古埃及、古希腊、古罗马时期）
839,19-000839-00-1,9,n.,cathedrals,-,大教堂，（主教控制的）教区总教堂
